id,title,body,category,priority
TCK-0081,Scadenza pagamento,Necessito del vostro IBAN per effettuare il saldo in scadenza.,Amministrazione,Media
TCK-0082,Nuovo ordine,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono? È urgente.,Commerciale,Alta
TCK-0083,Informazioni su licenze,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono? Produzione ferma.,Commerciale,Alta
TCK-0084,Dettagli offerta,Vorrei capire come funziona il passaggio al piano superiore di licenze software. Solo per informazione.,Commerciale,Bassa
TCK-0085,Reset password,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti.,Tecnico,Alta
TCK-0086,Richiesta IBAN,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla? Solo per avere un'idea.",Amministrazione,Bassa
TCK-0087,Informazioni su licenze,Vorrei capire come funziona il passaggio al piano superiore di licenze software.,Commerciale,Media
TCK-0088,Errore in nota di credito,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla? Produzione ferma.",Amministrazione,Alta
TCK-0089,Server non raggiungibile,"Ho dimenticato la password e il link di reset non funziona, mi dà errore. È urgente.",Tecnico,Alta
TCK-0090,Errore di sistema,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare. Risolvete subito.",Tecnico,Alta
TCK-0091,Reset password,"Il server principale non risponde, non riusciamo ad accedere ai file condivisi. Situazione bloccante.",Tecnico,Alta
TCK-0092,Reset password,"Ho dimenticato la password e il link di reset non funziona, mi dà errore.",Tecnico,Media
TCK-0093,Reset password,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta. Nessuna fretta.,Tecnico,Alta
TCK-0094,Problema con fattura,"Il pagamento risulta rifiutato dal sistema, come posso procedere? Produzione ferma.",Amministrazione,Alta
TCK-0095,Problema con fattura,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale. Nessuna fretta.,Amministrazione,Bassa
TCK-0096,Crash applicazione,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta. ASAP!,Tecnico,Alta
TCK-0097,Scadenza pagamento,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0098,Bonifico non ricevuto,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale.,Amministrazione,Media
TCK-0099,Informazioni su licenze,"Siamo in scadenza, è possibile avere uno sconto per il rinnovo annuale del contratto? Nessuna fretta.",Commerciale,Bassa
TCK-0100,Sconto per rinnovo,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali.,Commerciale,Bassa
TCK-0101,Crash applicazione,"Ho dimenticato la password e il link di reset non funziona, mi dà errore.",Tecnico,Alta
TCK-0102,Software lento,"Ho dimenticato la password e il link di reset non funziona, mi dà errore.",Tecnico,Media
TCK-0103,Errore in nota di credito,Ho notato un'incongruenza nella nota di credito emessa ieri.,Amministrazione,Media
TCK-0104,Bonifico non ricevuto,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale. Solo per informazione.,Amministrazione,Bassa
TCK-0105,Reset password,"Il server principale non risponde, non riusciamo ad accedere ai file condivisi. Nessuna fretta.",Tecnico,Bassa
TCK-0106,Software lento,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare.",Tecnico,Media
TCK-0107,Nuovo ordine,Vorrei capire come funziona il passaggio al piano superiore di licenze software.,Commerciale,Media
TCK-0108,Crash applicazione,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta. Quando avete tempo.,Tecnico,Alta
TCK-0109,Sconto per rinnovo,Vorrei capire come funziona il passaggio al piano superiore di licenze software.,Commerciale,Media
TCK-0110,Problema con fattura,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla? Risolvete subito.",Amministrazione,Alta
TCK-0111,Richiesta preventivo,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo. Quando avete tempo.,Commerciale,Bassa
TCK-0112,Nuovo ordine,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo. Quando avete tempo.,Commerciale,Bassa
TCK-0113,Richiesta preventivo,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali.,Commerciale,Bassa
TCK-0114,Richiesta IBAN,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale. Quando avete tempo.,Amministrazione,Bassa
TCK-0115,Errore in nota di credito,Necessito del vostro IBAN per effettuare il saldo in scadenza.,Amministrazione,Media
TCK-0116,Dettagli offerta,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono?,Commerciale,Media
TCK-0117,Crash applicazione,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta. Solo per avere un'idea.,Tecnico,Alta
TCK-0118,Errore in nota di credito,Ho notato un'incongruenza nella nota di credito emessa ieri. Quando avete tempo.,Amministrazione,Bassa
TCK-0119,Sconto per rinnovo,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono? Quando avete tempo.,Commerciale,Bassa
TCK-0120,Software lento,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti.,Tecnico,Alta
TCK-0121,Scadenza pagamento,"Il pagamento risulta rifiutato dal sistema, come posso procedere? Solo per informazione.",Amministrazione,Bassa
TCK-0122,Richiesta IBAN,Necessito del vostro IBAN per effettuare il saldo in scadenza. Quando avete tempo.,Amministrazione,Bassa
TCK-0123,Informazioni su licenze,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali. Nessuna fretta.,Commerciale,Bassa
TCK-0124,Nuovo ordine,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo. Risolvete subito.,Commerciale,Alta
TCK-0125,Crash applicazione,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti.,Tecnico,Alta
TCK-0126,Nuovo ordine,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo. Produzione ferma.,Commerciale,Alta
TCK-0127,Software lento,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare.",Tecnico,Media
TCK-0128,Dettagli offerta,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono?,Commerciale,Media
TCK-0129,Server non raggiungibile,"Ho dimenticato la password e il link di reset non funziona, mi dà errore. Solo per informazione.",Tecnico,Bassa
TCK-0130,Reset password,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare.",Tecnico,Media
TCK-0131,Server non raggiungibile,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta.,Tecnico,Alta
TCK-0132,Crash applicazione,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta.,Tecnico,Alta
TCK-0133,Errore in nota di credito,Necessito del vostro IBAN per effettuare il saldo in scadenza.,Amministrazione,Media
TCK-0134,Problema con fattura,"Il pagamento risulta rifiutato dal sistema, come posso procedere? Quando avete tempo.",Amministrazione,Bassa
TCK-0135,Reset password,"Ho dimenticato la password e il link di reset non funziona, mi dà errore.",Tecnico,Media
TCK-0136,Reset password,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare. Solo per informazione.",Tecnico,Bassa
TCK-0137,Errore di sistema,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta. Produzione ferma.,Tecnico,Alta
TCK-0138,Problema con fattura,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0139,Richiesta IBAN,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0140,Richiesta IBAN,Ho notato un'incongruenza nella nota di credito emessa ieri.,Amministrazione,Media
TCK-0141,Informazioni su licenze,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo.,Commerciale,Media
TCK-0142,Server non raggiungibile,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta.,Tecnico,Alta
TCK-0143,Richiesta preventivo,Vorrei capire come funziona il passaggio al piano superiore di licenze software.,Commerciale,Bassa
TCK-0144,Bonifico non ricevuto,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0145,Nuovo ordine,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo.,Commerciale,Media
TCK-0146,Problema con fattura,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale.,Amministrazione,Media
TCK-0147,Informazioni su licenze,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali.,Commerciale,Bassa
TCK-0148,Crash applicazione,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti.,Tecnico,Alta
TCK-0149,Richiesta preventivo,"Siamo in scadenza, è possibile avere uno sconto per il rinnovo annuale del contratto?",Commerciale,Bassa
TCK-0150,Sconto per rinnovo,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali.,Commerciale,Bassa
TCK-0151,Errore di sistema,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare.",Tecnico,Media
TCK-0152,Errore in nota di credito,"Il pagamento risulta rifiutato dal sistema, come posso procedere?",Amministrazione,Media
TCK-0153,Server non raggiungibile,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare. ASAP!",Tecnico,Alta
TCK-0154,Sconto per rinnovo,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono?,Commerciale,Media
TCK-0155,Nuovo ordine,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo. Nessuna fretta.,Commerciale,Bassa
TCK-0156,Server non raggiungibile,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti. Solo per avere un'idea.,Tecnico,Alta
TCK-0157,Errore in nota di credito,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale.,Amministrazione,Media
TCK-0158,Reset password,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti. Nessuna fretta.,Tecnico,Alta
TCK-0159,Errore in nota di credito,Necessito del vostro IBAN per effettuare il saldo in scadenza. Nessuna fretta.,Amministrazione,Bassa
TCK-0160,Reset password,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta.,Tecnico,Alta
TCK-0161,Crash applicazione,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti.,Tecnico,Alta
TCK-0162,Problema con fattura,Necessito del vostro IBAN per effettuare il saldo in scadenza.,Amministrazione,Media
TCK-0163,Crash applicazione,"Il server principale non risponde, non riusciamo ad accedere ai file condivisi.",Tecnico,Alta
TCK-0164,Nuovo ordine,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo.,Commerciale,Media
TCK-0165,Scadenza pagamento,Necessito del vostro IBAN per effettuare il saldo in scadenza. Quando avete tempo.,Amministrazione,Bassa
TCK-0166,Crash applicazione,"Ho dimenticato la password e il link di reset non funziona, mi dà errore. Nessuna fretta.",Tecnico,Alta
TCK-0167,Crash applicazione,"Ho dimenticato la password e il link di reset non funziona, mi dà errore. Solo per avere un'idea.",Tecnico,Alta
TCK-0168,Reset password,"Ho dimenticato la password e il link di reset non funziona, mi dà errore. Situazione bloccante.",Tecnico,Alta
TCK-0169,Errore di sistema,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta.,Tecnico,Alta
TCK-0170,Informazioni su licenze,Vorrei capire come funziona il passaggio al piano superiore di licenze software. Risolvete subito.,Commerciale,Alta
TCK-0171,Crash applicazione,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta.,Tecnico,Alta
TCK-0172,Richiesta IBAN,"Il pagamento risulta rifiutato dal sistema, come posso procedere? Situazione bloccante.",Amministrazione,Alta
TCK-0173,Errore di sistema,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta. È urgente.,Tecnico,Alta
TCK-0174,Bonifico non ricevuto,"Il pagamento risulta rifiutato dal sistema, come posso procedere?",Amministrazione,Media
TCK-0175,Errore in nota di credito,"Buongiorno, non trovo la vostra fattura del mese scorso. Potete rimandarla?",Amministrazione,Media
TCK-0176,Sconto per rinnovo,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo. Nessuna fretta.,Commerciale,Bassa
TCK-0177,Problema con fattura,"Il pagamento risulta rifiutato dal sistema, come posso procedere?",Amministrazione,Media
TCK-0178,Errore di sistema,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti. Solo per informazione.,Tecnico,Alta
TCK-0179,Richiesta preventivo,Vorrei capire come funziona il passaggio al piano superiore di licenze software. ASAP!,Commerciale,Alta
TCK-0180,Errore di sistema,"Il server principale non risponde, non riusciamo ad accedere ai file condivisi. Risolvete subito.",Tecnico,Alta
TCK-0181,Dettagli offerta,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono? ASAP!,Commerciale,Alta
TCK-0182,Software lento,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare. Solo per avere un'idea.",Tecnico,Bassa
TCK-0183,Crash applicazione,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta. È urgente.,Tecnico,Alta
TCK-0184,Richiesta IBAN,"Il pagamento risulta rifiutato dal sistema, come posso procedere?",Amministrazione,Media
TCK-0185,Richiesta IBAN,Necessito del vostro IBAN per effettuare il saldo in scadenza.,Amministrazione,Media
TCK-0186,Problema con fattura,Ho notato un'incongruenza nella nota di credito emessa ieri. Solo per avere un'idea.,Amministrazione,Bassa
TCK-0187,Errore di sistema,"Il server principale non risponde, non riusciamo ad accedere ai file condivisi. Nessuna fretta.",Tecnico,Bassa
TCK-0188,Nuovo ordine,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali.,Commerciale,Bassa
TCK-0189,Crash applicazione,"Il server principale non risponde, non riusciamo ad accedere ai file condivisi. Quando avete tempo.",Tecnico,Alta
TCK-0190,Informazioni su licenze,"Siamo in scadenza, è possibile avere uno sconto per il rinnovo annuale del contratto?",Commerciale,Media
TCK-0191,Problema con fattura,Necessito del vostro IBAN per effettuare il saldo in scadenza.,Amministrazione,Media
TCK-0192,Dettagli offerta,"Siamo in scadenza, è possibile avere uno sconto per il rinnovo annuale del contratto? Solo per avere un'idea.",Commerciale,Bassa
TCK-0193,Sconto per rinnovo,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo.,Commerciale,Media
TCK-0194,Dettagli offerta,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo. Solo per informazione.,Commerciale,Bassa
TCK-0195,Reset password,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta. Solo per informazione.,Tecnico,Alta
TCK-0196,Bonifico non ricevuto,Abbiamo effettuato il bonifico ma non vedo lo sblocco amministrativo nel portale.,Amministrazione,Media
TCK-0197,Sconto per rinnovo,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono? Situazione bloccante.,Commerciale,Alta
TCK-0198,Crash applicazione,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare.",Tecnico,Alta
TCK-0199,Bonifico non ricevuto,Ho notato un'incongruenza nella nota di credito emessa ieri.,Amministrazione,Media
TCK-0200,Errore di sistema,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare. Nessuna fretta.",Tecnico,Bassa
TCK-0201,Errore di sistema,"Il server principale non risponde, non riusciamo ad accedere ai file condivisi. Solo per avere un'idea.",Tecnico,Bassa
TCK-0202,Software lento,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta. È urgente.,Tecnico,Alta
TCK-0203,Reset password,"Ho dimenticato la password e il link di reset non funziona, mi dà errore. Risolvete subito.",Tecnico,Alta
TCK-0204,Richiesta preventivo,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono? Solo per informazione.,Commerciale,Bassa
TCK-0205,Bonifico non ricevuto,"Il pagamento risulta rifiutato dal sistema, come posso procedere?",Amministrazione,Media
TCK-0206,Software lento,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti. ASAP!,Tecnico,Alta
TCK-0207,Scadenza pagamento,Ho notato un'incongruenza nella nota di credito emessa ieri.,Amministrazione,Media
TCK-0208,Errore di sistema,Continuo a ricevere un errore 500 quando provo a salvare il form dei clienti.,Tecnico,Alta
TCK-0209,Informazioni su licenze,Vorrei capire come funziona il passaggio al piano superiore di licenze software. Solo per informazione.,Commerciale,Bassa
TCK-0210,Nuovo ordine,Vorrei ricevere un preventivo dettagliato per 10 nuove utenze aziendali. È urgente.,Commerciale,Alta
TCK-0211,Errore di sistema,"Il server principale non risponde, non riusciamo ad accedere ai file condivisi. Nessuna fretta.",Tecnico,Bassa
TCK-0212,Sconto per rinnovo,Vorrei procedere con un nuovo ordine per il prodotto che ho visto a catalogo.,Commerciale,Media
TCK-0213,Server non raggiungibile,"Il gestionale è incredibilmente lento da questa mattina, è impossibile lavorare.",Tecnico,Media
TCK-0214,Server non raggiungibile,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta.,Tecnico,Alta
TCK-0215,Problema con fattura,"Il pagamento risulta rifiutato dal sistema, come posso procedere?",Amministrazione,Media
TCK-0216,Reset password,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta. Solo per informazione.,Tecnico,Alta
TCK-0217,Reset password,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta.,Tecnico,Alta
TCK-0218,Nuovo ordine,Vorrei capire come funziona il passaggio al piano superiore di licenze software. Solo per avere un'idea.,Commerciale,Bassa
TCK-0219,Reset password,L'applicazione va in crash improvvisamente appena clicco sul pulsante esporta.,Tecnico,Alta
TCK-0220,Software lento,"Ho dimenticato la password e il link di reset non funziona, mi dà errore.",Tecnico,Media
TCK-0221,Informazioni su licenze,Potete inviarmi i dettagli dell'offerta speciale di cui mi avete parlato al telefono? Solo per avere un'idea.,Commerciale,Bassa
